20	20	2023-12-19	2024-11-01	198.29	16.52	33.04	12	2	600
70	70	2024-03-01	2024-11-01	1209.00	120.90	362.70	10	3	700
340	340	2024-07-13	2024-11-01	444.09	74.02	222.08	6	3	400
21810	21810	2024-10-01	2024-11-01	19.98	19.98	19.98	1	1	100
21820	21820	2024-10-03	2024-11-01	19.98	19.98	19.98	1	1	100
21830	21830	2024-10-03	2024-11-01	39.90	39.90	39.90	1	1	500
21840	21840	2024-10-05	2024-11-01	54.90	54.90	54.90	1	1	1100
21850	21850	2024-10-07	2024-10-07	300.00	300.00	0.00	0	0	1000
21860	21860	2024-10-01	2024-11-01	118.34	118.34	118.34	1	1	100
21870	21870	2024-10-05	2024-11-01	190.00	63.33	189.99	3	3	400
21880	21880	2024-10-04	2024-11-01	39.90	39.90	39.90	1	1	600
21890	21890	2024-10-07	2024-11-01	44.90	44.90	44.90	1	1	500
21900	21900	2024-10-07	2024-11-01	9.86	9.86	9.86	1	1	100
21910	21910	2024-10-05	2024-11-01	19.50	19.50	19.50	1	1	600
21920	21920	2024-10-05	2024-11-01	34.98	34.98	34.98	1	1	600
21930	21930	2024-10-05	2024-11-01	13.32	13.32	13.32	1	1	100
21940	21940	2024-10-05	2024-11-01	141.45	141.45	141.45	1	1	100
21950	21950	2024-10-07	2024-10-07	49.90	49.90	0.00	0	0	600
21960	21960	2024-10-07	2024-11-01	33.49	33.49	33.49	1	1	600
21970	21970	2024-10-01	2024-11-01	38.99	38.99	38.99	1	1	600
21980	21980	2024-10-01	2024-11-01	145.78	145.78	145.78	1	1	100
21990	21990	2024-10-02	2024-11-01	10.88	10.88	10.88	1	1	1100
22000	22000	2024-10-02	2024-11-01	67.96	67.96	67.96	1	1	400
22010	22010	2024-10-04	2024-11-01	93.90	93.90	93.90	1	1	100
22020	22020	2024-10-04	2024-11-01	8.50	8.50	8.50	1	1	100
22030	22030	2024-10-07	2024-11-01	21.49	21.49	21.49	1	1	1100
22040	22040	2024-10-07	2024-10-07	2687.80	2687.80	0.00	0	0	800
22050	22050	2024-10-08	2024-11-01	31.88	31.88	31.88	1	1	100
22060	22060	2024-10-09	2024-11-01	432.00	432.00	432.00	1	1	1000
22070	22070	2024-10-09	2024-11-01	19.90	19.90	19.90	1	1	600
22080	22080	2024-10-10	2024-11-01	119.70	119.70	119.70	1	1	100
22090	22090	2024-10-10	2024-10-10	270.00	270.00	0.00	0	0	1100
22100	22100	2024-10-09	2024-11-01	54.90	54.90	54.90	1	1	500
22110	22110	2024-10-09	2024-11-01	14.67	14.67	14.67	1	1	100
22120	22120	2024-10-09	2024-11-01	3.49	3.49	3.49	1	1	100
22130	22130	2024-10-11	2024-11-01	25.58	25.58	25.58	1	1	100
22140	22140	2024-10-11	2024-11-01	39.99	39.99	39.99	1	1	600
22150	22150	2024-10-11	2024-11-01	62.99	62.99	62.99	1	1	100
22160	22160	2024-10-13	2024-11-01	22.46	22.46	22.46	1	1	100
22170	22170	2024-10-12	2024-11-01	63.13	63.13	63.13	1	1	600
22180	22180	2024-10-12	2024-11-01	5.39	5.39	5.39	1	1	600
22190	22190	2024-10-12	2024-11-01	31.48	31.48	31.48	1	1	100
22200	22200	2024-10-13	2024-11-01	33.23	33.23	33.23	1	1	100
22210	22210	2024-10-13	2024-11-01	49.90	49.90	49.90	1	1	600
