Monte o insert abaixo para cada linha DE REGISTRO
INSERT INTO TB_REG_FINANC (ID_REGISTRO, DATA_REGISTRO, DATA_GASTO, VALOR, DESCRICAO, LOCAL_GASTO, PARCELAMENTO, N_PARCELAS, IDCATEGORIA, IDFORMA_PAGAMENTO) VALUES:
10	2024-07-05	2024-06-02	82.72	Protetor de Gymbal	FanPro - ML	S	3	600	100
20	2024-07-05	2023-12-19	198.29	Mouse Loggitech	Mercado Livre	S	12	600	100
30	2024-07-06	2024-03-25	275.00	Veterinário	Dr Petean	S	6	700	100
40	2024-07-06	2024-03-02	453.00	Veterinário	Dr Petean	S	6	700	100
50	2024-07-06	2023-11-16	1171.02	Compras para a casa	Mercado Livre	S	10	600	100
60	2024-07-06	2023-12-01	1619.99	Barraca Qechua 4x1	Decatlhon	S	10	600	100
70	2024-07-06	2024-03-01	1209.00	Cirurgia Maya	Dr Petean	S	10	700	100
80	2024-07-06	2024-07-01	16.14	Insumos para a janta	Dalben	S	1	100	100
90	2024-07-06	2024-07-01	189.90	Proteína para a semana	Swift	S	1	100	100
100	2024-07-06	2024-07-01	9.90	Pão e algodão	Dalben	S	1	100	100
110	2024-07-06	2024-07-01	39.50	Tabaco 	Yucatan	S	1	600	100
120	2024-07-06	2024-07-01	38.99	Google Storage	Google	S	1	600	100
130	2024-07-06	2024-07-03	6.91	Pão para o café	Dalben	S	1	100	100
140	2024-07-06	2024-07-03	30.51	Insumos	Dalben	S	1	100	100
150	2024-07-06	2024-07-04	39.99	Claro Flex	Claro	S	1	600	100
160	2024-07-06	2024-07-05	9.25	Pão para o café	Dalben	S	1	100	100
170	2024-07-06	2024-07-04	8.50	Coca cola	Onni Luggo	S	1	100	100
180	2024-07-06	2024-07-05	53.07	Big Boca	Big Boca	S	1	100	100
190	2024-07-06	2024-07-06	7.16	Café da manhã	Dalben	S	1	100	100
200	2024-07-06	2024-07-06	163.47	Insumos para o mês	Spani	S	1	100	100
210	2024-07-08	2024-07-08	6.00	Piteira	Yucatan Tabacaria	S	1	600	100
220	2024-07-08	2024-07-07	44.90	Netflix	Netflix Brasil	S	1	500	100
230	2024-07-08	2024-07-07	17.55	Insumos para a janta	Dalben	S	1	100	100
240	2024-07-08	2024-07-07	14.00	Casquinha na lagoa	Açai Lagoa	S	1	100	100
250	2024-07-08	2024-07-08	45.00	Pão de Queijo	Pão de Queijo Santana	S	1	100	100
260	2024-07-08	2024-07-07	100.00	Mesa do Wilson	Nubank	N	0	600	400
270	2024-07-10	2024-07-09	7.79	Coca Cola	Savegnago	S	1	100	100
280	2024-07-12	2024-07-12	265.00	Corre DRY	Nubank	N	0	1100	400
290	2024-07-13	2024-07-08	54.90	Globo Play	Globo	S	1	500	100
300	2024-07-13	2024-07-10	303.16	Remédios Sarah	Drogasil	S	3	400	100
310	2024-07-13	2024-07-12	68.77	Big Boca	Big Boca	S	1	100	100
320	2024-07-13	2024-07-11	39.00	Claro Flex	Claro	S	1	600	100
330	2024-07-13	2024-07-13	39.99	Corte Cabelo	Barbearia Mansões	S	1	1100	100
340	2024-07-13	2024-07-13	444.09	Centrum	Drogaria São Paulo	S	6	400	100
350	2024-07-13	2024-07-13	49.90	Apple Storage	Apple	S	1	600	100
360	2024-07-13	2024-07-05	127.69	Tax habilitação	Lotérica	N	0	700	400
370	2024-07-17	2024-07-15	4.99	Pacote de Macarrão	Onni Luggo	S	1	100	100
380	2024-07-17	2024-07-16	12.50	Compra de seda	Yucatan Tabacaria	S	1	600	100
390	2024-07-17	2024-07-15	159.05	Insumos para a semana	Spani	S	1	100	100
400	2024-07-17	2024-07-16	12.32	Insumos para a janta	Dalben	S	1	100	100
410	2024-07-17	2024-07-17	133.98	Chuveiro Lorenzetti	Mercado Livre	S	3	200	100
420	2024-07-17	2024-07-17	67.31	Resistência	Dalben	S	1	700	100
430	2024-07-17	2024-07-15	23623.73	Aplicação Poupança	Nubank	N	0	800	500
440	2024-07-22	2024-07-20	19.90	Conector e veda rosca	Construvip Mansões	S	1	700	100
450	2024-07-22	2024-07-22	4.95	Clube Ifood	IFOOD Brasil	S	1	600	100
470	2024-07-22	2024-07-18	6.12	Insumos	Dalben	S	1	100	100
480	2024-07-22	2024-07-18	54.99	Janta de Quinta	IFOOD	S	1	100	100
490	2024-07-22	2024-07-19	8.50	Coca Cola	Onni Luggo	S	1	100	100
500	2024-07-22	2024-07-19	48.23	Insumos	Dalben	S	1	600	100
510	2024-07-22	2024-07-20	5.89	Insumos	Dalben	S	1	600	100
520	2024-07-22	2024-07-20	128.35	Janta de Sábado	Embrasa Burguer	S	1	100	100
530	2024-07-22	2024-07-20	8.50	Coca Cola	Onni Luggo	S	1	100	100
540	2024-07-22	2024-07-20	38.36	Gardenal	Drogaria SP	S	1	1100	100
550	2024-07-22	2024-07-20	11.20	Coleira Spike	PetCamp	S	1	600	100
560	2024-07-22	2024-07-20	404.32	Ração pros cachorros	PetCamp	S	2	1100	100
570	2024-07-22	2024-07-22	82.38	Proteína pra Semana	Swift	S	1	100	100
580	2024-07-22	2024-07-21	31.20	Sorvete	Sonho de verão	S	1	500	100
590	2024-07-22	2024-07-22	15.46	Insumos	Dalben	S	1	100	100
600	2024-07-22	2024-07-22	20.00	Tabaco	Yucatan	S	1	600	100
610	2024-07-22	2024-07-22	91.51	Compras maravilha do lar	Maravilhas do Lar	S	1	600	100
620	2024-07-22	2024-07-18	300.00	Gasolina	Nubank	N	0	300	400
630	2024-07-22	2024-07-18	203.43	Conta de Luz	Compania de Luz CPFL	N	0	200	400
10430	2024-07-24	2024-07-24	16.99	Pó de Café	Dalben	S	1	100	100
10440	2024-07-29	2024-07-26	10.90	Compra de RP	Riot Games	S	2	500	100
10450	2024-07-29	2024-07-26	10.90	Compra de RP	Riot Games	S	2	500	100
10460	2024-07-29	2024-07-26	8.50	Coca Cola	Onni Luggo	S	1	100	100
